,Fornecedor,Numero_Serial,Manutenção_Preventiva,Manutenção_Emergencial,Manutenção_Corretiva,total,data,Equipamentos,Manutenção preditiva
0,TechGear Solutions,4LBLMRFX30,,,,,2024-01-01,Prensa Hidráulica,
1,TechGear Solutions,9CU0XDJLUY,,,,,2024-01-01,Prensa Hidráulica,
2,TechGear Solutions,DSWO8OJBSY,,,,,2024-01-01,Prensa Hidráulica,
3,TechGear Solutions,30VXALLIL3,,,,,2024-01-01,Prensa Hidráulica,
4,TechGear Solutions,CMTPBSJ14O,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
5,TechGear Solutions,07CYU6Z1H8,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
6,TechGear Solutions,2FRVY2WZT0,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
7,TechGear Solutions,YVS3QNMOFS,,,,,2024-01-01,Prensa Hidráulica,
8,TechGear Solutions,RVYLFTSVZS,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
9,TechGear Solutions,9ZFK1W6LXQ,,,,,2024-01-01,Prensa Hidráulica,
10,TechGear Solutions,L3F1L45DCX,,,,,2024-01-01,Prensa Hidráulica,
11,TechGear Solutions,J35AH0AHJ8,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
12,TechGear Solutions,3Q14HIUKO9,,,,,2024-01-01,Prensa Hidráulica,
13,TechGear Solutions,BI1VAS5A44,,,,,2024-01-01,Prensa Hidráulica,
14,TechGear Solutions,52X8BPJTIJ,,,,,2024-01-01,Prensa Hidráulica,
15,TechGear Solutions,1RIQWRH58I,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
16,TechGear Solutions,WH7SEZCDEH,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
17,TechGear Solutions,TBMHMKRI3R,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
18,TechGear Solutions,AISA4ID3C8,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
19,TechGear Solutions,9TM6HKWKDO,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
20,TechGear Solutions,FMDZSRBDLN,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
21,TechGear Solutions,1OYTYJMT5W,0.0,0.0,0.0,0.0,2024-01-01,Prensa Hidráulica,0.0
22,ProMach Equipamentos,YLKBGEWOOB,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
23,ProMach Equipamentos,IFRYWJDPH3,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
24,ProMach Equipamentos,6EELR8L2M4,,,,,2024-01-01,Torno,
25,ProMach Equipamentos,DLN7TV51J8,,,,,2024-01-01,Torno,
26,ProMach Equipamentos,ZWYG4YDC8H,,,,,2024-01-01,Torno,
27,ProMach Equipamentos,MQ67YJB86T,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
28,ProMach Equipamentos,CW7VCH8RY3,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
29,ProMach Equipamentos,SDFEEOQR91,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
30,ProMach Equipamentos,P5STY98UNJ,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
31,ProMach Equipamentos,RJX4WKZQCE,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
32,ProMach Equipamentos,JXOLFLLNDP,,,,,2024-01-01,Torno,
33,ProMach Equipamentos,KOP5XTRSDZ,,,,,2024-01-01,Torno,
34,ProMach Equipamentos,OIVSAT1KRD,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
35,ProMach Equipamentos,ZOL8XUT8P9,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
36,ProMach Equipamentos,UNZ94T3KIR,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
37,ProMach Equipamentos,WHIICP79V8,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
38,ProMach Equipamentos,LJCOWM80QO,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
39,ProMach Equipamentos,81MGOI5RX7,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
40,ProMach Equipamentos,KHETTRFG86,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
41,ProMach Equipamentos,4TJ8D46R4A,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
42,ProMach Equipamentos,NIXGTTNBMS,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
43,ProMach Equipamentos,GVLRA8B57Y,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
44,ProMach Equipamentos,UPBWZMPPHK,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
45,ProMach Equipamentos,P1G966LF42,,,,,2024-01-01,Torno,
46,ProMach Equipamentos,PVN3S2YEWX,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
47,ProMach Equipamentos,AJATBEXFU8,0.0,0.0,0.0,0.0,2024-01-01,Torno,0.0
48,IndusMach Technologies,1XF2UBSRA1,,,,,2024-01-01,Fresadora,
49,IndusMach Technologies,80TGHTYQAK,,,,,2024-01-01,Fresadora,
50,IndusMach Technologies,HPF084Z667,,,,,2024-01-01,Fresadora,
51,IndusMach Technologies,694CB0YHFY,,,,,2024-01-01,Fresadora,
52,IndusMach Technologies,4W27F6ZIDX,,,,,2024-01-01,Fresadora,
53,IndusMach Technologies,PVX8U02MHL,,,,,2024-01-01,Fresadora,
54,IndusMach Technologies,QSAMEA9VPD,,,,,2024-01-01,Fresadora,
55,IndusMach Technologies,1EWKEAYWFS,,,,,2024-01-01,Fresadora,
56,IndusMach Technologies,N1AYT2R2M5,,,,,2024-01-01,Fresadora,
57,IndusMach Technologies,05UUV1U233,,,,,2024-01-01,Fresadora,
58,IndusMach Technologies,SHAH9BHQF3,,,,,2024-01-01,Fresadora,
59,IndusMach Technologies,1TJMK6DTP5,,,,,2024-01-01,Fresadora,
60,IndusMach Technologies,HB2ZQ2U4WL,,,,,2024-01-01,Fresadora,
61,IndusMach Technologies,6KNQIWP1RG,,,,,2024-01-01,Fresadora,
62,IndusMach Technologies,Y6VMMDVMKA,,,,,2024-01-01,Fresadora,
63,IndusMach Technologies,G8P15D8ATD,,,,,2024-01-01,Fresadora,
64,IndusMach Technologies,X2OIV87NWN,,,,,2024-01-01,Fresadora,
